"","Store","StoreType","Assortment","CompetitionDistance","CompetitionOpenSinceMonth","CompetitionOpenSinceYear","Promo2","Promo2SinceWeek","Promo2SinceYear","PromoInterval","StateCode","StateName","AirportCode","CompetitionOpenDate","Promo2StartDate"
"55",55,"c","c",1910,7,2013,0,NA,NA,"","BEHBHHNISH","","HAM",2013-07-01,NA
"56",56,"d","c",2000,NA,NA,1,1,2013,"Jan,Apr,Jul,Oct","HE","Hesse","FRA",NA,2013-01-07
"57",57,"a","a",270,8,2013,1,10,2014,"Mar,Jun,Sept,Dec","BBMVTH","","TXL ",2013-08-01,2014-03-10
"58",58,"c","a",20970,11,2012,0,NA,NA,"","NWRP","","DUS",2012-11-01,NA
"59",59,"a","c",220,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"60",60,"c","c",1540,NA,NA,1,22,2012,"Mar,Jun,Sept,Dec","BW","Baden-Wurttemberg","STR",NA,2012-05-28
"61",61,"a","c",58260,4,2013,0,NA,NA,"","BEHBHHNISH","","HAM",2013-04-01,NA
"62",62,"d","a",3520,NA,NA,1,18,2012,"Feb,May,Aug,Nov","HE","Hesse","FRA",NA,2012-04-30
"63",63,"a","a",17500,4,2001,1,37,2009,"Jan,Apr,Jul,Oct","BBMVTH","","TXL ",2001-04-01,2009-09-14
"64",64,"d","c",12070,10,2005,1,10,2013,"Jan,Apr,Jul,Oct","BW","Baden-Wurttemberg","STR",2005-10-01,2013-03-11
"65",65,"a","a",20390,NA,NA,0,NA,NA,"","BBMVTH","","TXL ",NA,NA
"66",66,"a","a",30,4,2013,0,NA,NA,"","NWRP","","DUS",2013-04-01,NA
"67",67,"a","c",1610,NA,NA,0,NA,NA,"","HE","Hesse","FRA",NA,NA
"68",68,"d","a",1340,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"69",69,"b","b",1410,9,2008,0,NA,NA,"","HE","Hesse","FRA",2008-09-01,NA
"70",70,"a","a",180,11,2013,1,18,2011,"Feb,May,Aug,Nov","HE","Hesse","FRA",2013-11-01,2011-05-02
"71",71,"c","c",2640,4,2011,1,22,2012,"Mar,Jun,Sept,Dec","BEHBHHNISH","","HAM",2011-04-01,2012-05-28
"72",72,"a","a",1290,NA,NA,1,35,2011,"Mar,Jun,Sept,Dec","BY","Bavaria","MUC",NA,2011-08-29
"73",73,"a","a",3320,NA,NA,0,NA,NA,"","BW","Baden-Wurttemberg","STR",NA,NA
"74",74,"a","a",410,9,2012,0,NA,NA,"","BEHBHHNISH","","HAM",2012-09-01,NA
"75",75,"a","a",320,NA,NA,1,45,2009,"Feb,May,Aug,Nov","NWRP","","DUS",NA,2009-11-09
"76",76,"a","c",2310,9,2011,1,13,2010,"Jan,Apr,Jul,Oct","ST","Saxony-Anhalt","LEJ",2011-09-01,2010-03-29
"77",77,"a","a",280,NA,NA,1,45,2009,"Feb,May,Aug,Nov","BY","Bavaria","MUC",NA,2009-11-09
"78",78,"a","a",180,3,2008,1,31,2013,"Feb,May,Aug,Nov","NWRP","","DUS",2008-03-01,2013-08-05
"79",79,"d","a",850,NA,NA,1,18,2011,"Feb,May,Aug,Nov","NWRP","","DUS",NA,2011-05-02
"80",80,"a","a",1100,8,2013,1,40,2014,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2013-08-01,2014-10-06
"81",81,"a","c",NA,NA,NA,0,NA,NA,"","BEHBHHNISH","","HAM",NA,NA
"82",82,"a","a",2060,10,2008,0,NA,NA,"","SN","Saxony","DRS",2008-10-01,NA
"83",83,"a","a",770,5,2013,1,40,2014,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2013-05-01,2014-10-06
"84",84,"d","c",12020,7,2009,0,NA,NA,"","BY","Bavaria","MUC",2009-07-01,NA
"85",85,"d","c",3290,12,1999,1,35,2010,"Mar,Jun,Sept,Dec","NWRP","","DUS",1999-12-01,2010-08-30
"86",86,"a","c",1530,3,2013,0,NA,NA,"","BEHBHHNISH","","HAM",2013-03-01,NA
"87",87,"a","c",210,9,2012,0,NA,NA,"","BEHBHHNISH","","HAM",2012-09-01,NA
"88",88,"c","a",1560,NA,NA,1,45,2009,"Feb,May,Aug,Nov","BW","Baden-Wurttemberg","STR",NA,2009-11-09
"89",89,"a","a",3870,4,2008,0,NA,NA,"","HE","Hesse","FRA",2008-04-01,NA
"90",90,"a","a",1190,11,2012,1,36,2013,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2012-11-01,2013-09-09
"91",91,"d","c",1150,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct","NWRP","","DUS",NA,2011-04-04
"92",92,"d","a",10180,5,2015,0,NA,NA,"","ST","Saxony-Anhalt","LEJ",2015-05-01,NA
"93",93,"c","c",3970,3,2010,0,NA,NA,"","HE","Hesse","FRA",2010-03-01,NA
"94",94,"d","c",9790,NA,NA,1,31,2009,"Feb,May,Aug,Nov","BY","Bavaria","MUC",NA,2009-08-03
"95",95,"a","a",3160,9,2009,0,NA,NA,"","BEHBHHNISH","","HAM",2009-09-01,NA
"96",96,"d","a",260,2,2012,1,14,2011,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2012-02-01,2011-04-04
"97",97,"a","a",1420,10,2012,1,40,2014,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2012-10-01,2014-10-06
"98",98,"a","a",850,2,2012,1,40,2014,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2012-02-01,2014-10-06
"99",99,"a","a",5710,3,2012,1,37,2009,"Jan,Apr,Jul,Oct","HE","Hesse","FRA",2012-03-01,2009-09-14
"100",100,"a","a",3770,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"101",101,"a","a",180,11,2006,0,NA,NA,"","NWRP","","DUS",2006-11-01,NA
"102",102,"b","a",1270,5,2014,0,NA,NA,"","BEHBHHNISH","","HAM",2014-05-01,NA
"103",103,"d","a",15040,10,2004,0,NA,NA,"","HE","Hesse","FRA",2004-10-01,NA
"104",104,"c","c",4490,5,2014,1,5,2013,"Feb,May,Aug,Nov","ST","Saxony-Anhalt","LEJ",2014-05-01,2013-02-04
"105",105,"a","a",330,11,2007,0,NA,NA,"","NWRP","","DUS",2007-11-01,NA
"106",106,"a","a",7280,9,2012,1,1,2013,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2012-09-01,2013-01-07
"107",107,"d","c",4370,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"108",108,"a","c",5950,NA,NA,0,NA,NA,"","BW","Baden-Wurttemberg","STR",NA,NA
"109",109,"c","a",1690,6,2007,0,NA,NA,"","BEHBHHNISH","","HAM",2007-06-01,NA
"110",110,"b","c",1210,NA,NA,0,NA,NA,"","BEHBHHNISH","","HAM",NA,NA
"111",111,"a","a",16240,10,2000,1,18,2011,"Feb,May,Aug,Nov","NWRP","","DUS",2000-10-01,2011-05-02
"112",112,"a","a",22390,4,2008,1,37,2009,"Jan,Apr,Jul,Oct","NWRP","","DUS",2008-04-01,2009-09-14
"113",113,"d","a",970,11,1999,1,5,2013,"Feb,May,Aug,Nov","NWRP","","DUS",1999-11-01,2013-02-04
"114",114,"a","a",1410,4,2003,0,NA,NA,"","NWRP","","DUS",2003-04-01,NA
"115",115,"d","c",1860,5,2015,0,NA,NA,"","BEHBHHNISH","","HAM",2015-05-01,NA
"116",116,"a","c",1320,5,2013,0,NA,NA,"","NWRP","","DUS",2013-05-01,NA
"117",117,"a","a",90,7,2010,0,NA,NA,"","HE","Hesse","FRA",2010-07-01,NA
"118",118,"d","a",3780,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct","NWRP","","DUS",NA,2011-10-03
"119",119,"d","c",2170,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"120",120,"c","a",300,4,2006,0,NA,NA,"","BEHBHHNISH","","HAM",2006-04-01,NA
"121",121,"d","c",19960,3,2006,0,NA,NA,"","BY","Bavaria","MUC",2006-03-01,NA
"122",122,"d","c",13530,9,2013,0,NA,NA,"","BEHBHHNISH","","HAM",2013-09-01,NA
"123",123,"d","c",11260,NA,NA,1,9,2011,"Feb,May,Aug,Nov","NWRP","","DUS",NA,2011-02-28
"124",124,"a","c",960,11,2011,1,1,2012,"Jan,Apr,Jul,Oct","BEHBHHNISH","","HAM",2011-11-01,2012-01-02
"125",125,"d","a",8300,9,2006,0,NA,NA,"","SN","Saxony","DRS",2006-09-01,NA
"126",126,"a","a",3370,12,2008,1,40,2014,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2008-12-01,2014-10-06
"127",127,"d","c",15140,12,2006,1,1,2012,"Jan,Apr,Jul,Oct","NWRP","","DUS",2006-12-01,2012-01-02
"128",128,"a","c",190,6,2008,1,40,2011,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2008-06-01,2011-10-03
"129",129,"d","c",2640,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"130",130,"d","a",8220,4,2014,1,14,2011,"Jan,Apr,Jul,Oct","HE","Hesse","FRA",2014-04-01,2011-04-04
"131",131,"a","c",11810,8,2014,0,NA,NA,"","NWRP","","DUS",2014-08-01,NA
"132",132,"a","a",350,8,1999,1,14,2011,"Jan,Apr,Jul,Oct","BBMVTH","","TXL ",1999-08-01,2011-04-04
"133",133,"d","c",1130,11,2008,0,NA,NA,"","BEHBHHNISH","","HAM",2008-11-01,NA
"134",134,"c","a",110,NA,NA,0,NA,NA,"","HE","Hesse","FRA",NA,NA
"135",135,"a","a",90,6,2014,0,NA,NA,"","NWRP","","DUS",2014-06-01,NA
"136",136,"a","c",840,NA,NA,1,10,2014,"Jan,Apr,Jul,Oct","NWRP","","DUS",NA,2014-03-10
"137",137,"a","c",4030,NA,NA,0,NA,NA,"","BEHBHHNISH","","HAM",NA,NA
"138",138,"d","c",32240,3,2010,0,NA,NA,"","BEHBHHNISH","","HAM",2010-03-01,NA
"139",139,"d","a",18650,4,2004,1,14,2014,"Jan,Apr,Jul,Oct","NWRP","","DUS",2004-04-01,2014-04-07
"140",140,"a","a",4160,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"141",141,"d","c",1860,9,2012,1,40,2012,"Jan,Apr,Jul,Oct","BEHBHHNISH","","HAM",2012-09-01,2012-10-01
"142",142,"a","a",910,12,2014,1,37,2009,"Jan,Apr,Jul,Oct","HE","Hesse","FRA",2014-12-01,2009-09-14
"143",143,"a","a",2460,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",NA,2011-04-04
"144",144,"d","a",19840,7,2009,0,NA,NA,"","BY","Bavaria","MUC",2009-07-01,NA
"145",145,"c","a",3390,NA,NA,0,NA,NA,"","HE","Hesse","FRA",NA,NA
"146",146,"a","a",990,NA,NA,1,40,2014,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",NA,2014-10-06
"147",147,"d","c",18010,9,2014,0,NA,NA,"","BEHBHHNISH","","HAM",2014-09-01,NA
"148",148,"d","c",15170,NA,NA,1,5,2013,"Feb,May,Aug,Nov","BW","Baden-Wurttemberg","STR",NA,2013-02-04
"149",149,"a","c",21370,11,2010,0,NA,NA,"","BEHBHHNISH","","HAM",2010-11-01,NA
"150",150,"a","a",720,11,2009,0,NA,NA,"","NWRP","","DUS",2009-11-01,NA
"151",151,"c","c",1490,4,2009,0,NA,NA,"","BEHBHHNISH","","HAM",2009-04-01,NA
"152",152,"a","a",350,NA,NA,1,5,2013,"Feb,May,Aug,Nov","BW","Baden-Wurttemberg","STR",NA,2013-02-04
"153",153,"d","c",4680,NA,NA,1,22,2012,"Mar,Jun,Sept,Dec","BW","Baden-Wurttemberg","STR",NA,2012-05-28
"154",154,"d","c",7840,NA,NA,1,31,2009,"Feb,May,Aug,Nov","BY","Bavaria","MUC",NA,2009-08-03
"155",155,"d","a",1350,12,2005,1,13,2010,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2005-12-01,2010-03-29
"156",156,"a","a",4140,9,2012,1,18,2011,"Feb,May,Aug,Nov","NWRP","","DUS",2012-09-01,2011-05-02
"157",157,"a","c",18160,NA,NA,0,NA,NA,"","BEHBHHNISH","","HAM",NA,NA
"158",158,"a","a",40,2,2014,1,10,2014,"Mar,Jun,Sept,Dec","NWRP","","DUS",2014-02-01,2014-03-10
"159",159,"a","a",2090,12,2008,0,NA,NA,"","BEHBHHNISH","","HAM",2008-12-01,NA
"160",160,"a","a",280,9,2008,0,NA,NA,"","BEHBHHNISH","","HAM",2008-09-01,NA
"161",161,"c","c",3290,1,2007,1,5,2013,"Feb,May,Aug,Nov","NWRP","","DUS",2007-01-01,2013-02-04
"162",162,"a","a",230,6,2010,1,18,2010,"Feb,May,Aug,Nov","BEHBHHNISH","","HAM",2010-06-01,2010-05-03
"163",163,"a","a",27190,7,2010,1,37,2009,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2010-07-01,2009-09-14
"164",164,"a","a",240,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"165",165,"a","c",410,2,2006,0,NA,NA,"","BW","Baden-Wurttemberg","STR",2006-02-01,NA
"166",166,"a","a",3410,8,2011,1,14,2015,"Jan,Apr,Jul,Oct","NWRP","","DUS",2011-08-01,2015-04-06
"167",167,"a","a",480,2,2005,1,31,2013,"Jan,Apr,Jul,Oct","NWRP","","DUS",2005-02-01,2013-08-05
"168",168,"d","c",6680,9,2013,0,NA,NA,"","BEHBHHNISH","","HAM",2013-09-01,NA
"169",169,"d","c",3330,3,2015,1,13,2010,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2015-03-01,2010-03-29
"170",170,"a","a",390,2,2013,1,10,2014,"Jan,Apr,Jul,Oct","NWRP","","DUS",2013-02-01,2014-03-10
"171",171,"d","a",18610,NA,NA,0,NA,NA,"","SN","Saxony","DRS",NA,NA
"172",172,"a","c",480,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"173",173,"a","a",3620,NA,NA,1,40,2013,"Jan,Apr,Jul,Oct","BEHBHHNISH","","HAM",NA,2013-10-07
"174",174,"a","c",910,NA,NA,1,22,2011,"Feb,May,Aug,Nov","BEHBHHNISH","","HAM",NA,2011-05-30
"175",175,"a","a",19830,4,2006,1,22,2011,"Mar,Jun,Sept,Dec","BBMVTH","","TXL ",2006-04-01,2011-05-30
"176",176,"a","c",7860,5,2005,0,NA,NA,"","BW","Baden-Wurttemberg","STR",2005-05-01,NA
"177",177,"a","a",1890,NA,NA,0,NA,NA,"","HE","Hesse","FRA",NA,NA
"178",178,"c","a",6270,8,2005,1,23,2014,"Mar,Jun,Sept,Dec","HE","Hesse","FRA",2005-08-01,2014-06-09
"179",179,"c","a",4660,4,2013,0,NA,NA,"","BEHBHHNISH","","HAM",2013-04-01,NA
"180",180,"a","c",15050,9,2008,0,NA,NA,"","BEHBHHNISH","","HAM",2008-09-01,NA
"181",181,"d","c",24530,7,2013,0,NA,NA,"","BBMVTH","","TXL ",2013-07-01,NA
"182",182,"a","a",1400,6,2012,1,13,2010,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2012-06-01,2010-03-29
"183",183,"a","a",4450,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",NA,2011-04-04
"184",184,"a","a",290,10,2011,1,40,2014,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2011-10-01,2014-10-06
"185",185,"a","c",120,12,2014,1,37,2009,"Jan,Apr,Jul,Oct","HE","Hesse","FRA",2014-12-01,2009-09-14
"186",186,"a","a",660,4,2013,1,40,2014,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2013-04-01,2014-10-06
"187",187,"b","a",90,NA,NA,1,31,2013,"Jan,Apr,Jul,Oct","NWRP","","DUS",NA,2013-08-05
"188",188,"a","a",4080,3,2011,1,13,2010,"Jan,Apr,Jul,Oct","NWRP","","DUS",2011-03-01,2010-03-29
"189",189,"a","a",1890,10,2014,0,NA,NA,"","SN","Saxony","DRS",2014-10-01,NA
"190",190,"a","a",110,NA,NA,1,40,2014,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",NA,2014-10-06
"191",191,"a","c",4570,NA,NA,0,NA,NA,"","BW","Baden-Wurttemberg","STR",NA,NA
"192",192,"a","a",29910,4,2015,0,NA,NA,"","SN","Saxony","DRS",2015-04-01,NA
"193",193,"a","c",100,4,2015,0,NA,NA,"","NWRP","","DUS",2015-04-01,NA
"194",194,"d","c",2490,11,2012,1,31,2009,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2012-11-01,2009-08-03
"195",195,"b","b",900,NA,NA,1,14,2013,"Feb,May,Aug,Nov","BW","Baden-Wurttemberg","STR",NA,2013-04-08
"196",196,"a","a",20050,4,2002,0,NA,NA,"","SN","Saxony","DRS",2002-04-01,NA
"197",197,"a","a",1740,3,2008,1,40,2012,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2008-03-01,2012-10-01
"198",198,"a","a",1300,3,2014,1,40,2011,"Jan,Apr,Jul,Oct","NWRP","","DUS",2014-03-01,2011-10-03
"199",199,"d","c",7170,8,2014,1,5,2013,"Feb,May,Aug,Nov","ST","Saxony-Anhalt","LEJ",2014-08-01,2013-02-04
"200",200,"c","c",3890,NA,NA,0,NA,NA,"","SN","Saxony","DRS",NA,NA
"201",201,"a","c",2970,3,2005,0,NA,NA,"","NWRP","","DUS",2005-03-01,NA
"202",202,"d","a",3370,10,2014,1,18,2011,"Feb,May,Aug,Nov","NWRP","","DUS",2014-10-01,2011-05-02
"203",203,"c","a",4230,12,2014,0,NA,NA,"","ST","Saxony-Anhalt","LEJ",2014-12-01,NA
"204",204,"a","a",15700,NA,NA,1,13,2010,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",NA,2010-03-29
"205",205,"a","c",670,NA,NA,1,14,2015,"Jan,Apr,Jul,Oct","NWRP","","DUS",NA,2015-04-06
"206",206,"c","c",5090,9,2006,0,NA,NA,"","SN","Saxony","DRS",2006-09-01,NA
"207",207,"a","a",1220,12,2010,0,NA,NA,"","BEHBHHNISH","","HAM",2010-12-01,NA
"208",208,"a","a",13090,NA,NA,1,22,2012,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",NA,2012-05-28
"209",209,"c","c",11470,10,2009,1,18,2014,"Jan,Apr,Jul,Oct","SN","Saxony","DRS",2009-10-01,2014-05-05
"210",210,"c","c",10450,6,2009,0,NA,NA,"","SN","Saxony","DRS",2009-06-01,NA
"211",211,"a","a",2290,7,2011,1,1,2012,"Jan,Apr,Jul,Oct","NWRP","","DUS",2011-07-01,2012-01-02
"212",212,"d","c",570,7,2013,1,14,2011,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2013-07-01,2011-04-04
"213",213,"a","a",290,9,2002,1,13,2010,"Jan,Apr,Jul,Oct","BBMVTH","","TXL ",2002-09-01,2010-03-29
"214",214,"d","a",2380,3,2010,1,14,2011,"Jan,Apr,Jul,Oct","NWRP","","DUS",2010-03-01,2011-04-04
"215",215,"d","c",10890,4,2005,0,NA,NA,"","HE","Hesse","FRA",2005-04-01,NA
"216",216,"a","c",720,10,2014,0,NA,NA,"","BEHBHHNISH","","HAM",2014-10-01,NA
"217",217,"d","c",4360,10,2005,0,NA,NA,"","ST","Saxony-Anhalt","LEJ",2005-10-01,NA
"218",218,"d","a",9000,8,2001,0,NA,NA,"","NWRP","","DUS",2001-08-01,NA
"219",219,"a","a",210,11,2000,1,36,2013,"Mar,Jun,Sept,Dec","BW","Baden-Wurttemberg","STR",2000-11-01,2013-09-09
"220",220,"a","c",9260,2,2010,0,NA,NA,"","BEHBHHNISH","","HAM",2010-02-01,NA
"221",221,"a","a",1160,12,2012,0,NA,NA,"","SN","Saxony","DRS",2012-12-01,NA
"222",222,"c","c",1200,7,2012,1,27,2012,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2012-07-01,2012-07-02
"223",223,"a","a",4260,7,2008,1,37,2009,"Jan,Apr,Jul,Oct","HE","Hesse","FRA",2008-07-01,2009-09-14
"224",224,"a","c",5380,8,2015,1,5,2010,"Feb,May,Aug,Nov","NWRP","","DUS",2015-08-01,2010-02-01
"225",225,"c","a",4510,NA,NA,1,48,2011,"Mar,Jun,Sept,Dec","BBMVTH","","TXL ",NA,2011-11-28
"226",226,"c","c",190,NA,NA,1,31,2013,"Feb,May,Aug,Nov","NWRP","","DUS",NA,2013-08-05
"227",227,"a","a",18760,8,2015,1,14,2011,"Jan,Apr,Jul,Oct","ST","Saxony-Anhalt","LEJ",2015-08-01,2011-04-04
"228",228,"a","a",1470,12,2006,1,40,2014,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2006-12-01,2014-10-06
"229",229,"a","a",13140,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct","ST","Saxony-Anhalt","LEJ",NA,2011-04-04
"230",230,"a","c",12480,3,2011,0,NA,NA,"","BEHBHHNISH","","HAM",2011-03-01,NA
"231",231,"a","c",2280,NA,NA,1,10,2013,"Mar,Jun,Sept,Dec","NWRP","","DUS",NA,2013-03-11
"232",232,"d","a",3050,NA,NA,1,35,2010,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",NA,2010-08-30
"233",233,"a","c",870,NA,NA,0,NA,NA,"","BEHBHHNISH","","HAM",NA,NA
"234",234,"d","c",1460,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
