Store,State,Name,AirportCode
74,BEHBHHNISH,,HAM
75,NWRP,,DUS
76,ST,Saxony-Anhalt,CSO
77,BY,Bavaria,MUC
78,NWRP,,DUS
79,NWRP,,DUS
80,BY,Bavaria,MUC
81,BEHBHHNISH,,HAM
82,SN,Saxony,DRS
83,BY,Bavaria,MUC
84,BY,Bavaria,MUC
85,NWRP,,DUS
86,BEHBHHNISH,,HAM
87,BEHBHHNISH,,HAM
88,BW,Baden-Wurttemberg,STR
89,HE,Hesse,FRA
90,BY,Bavaria,MUC
91,NWRP,,DUS
92,ST,Saxony-Anhalt,CSO
93,HE,Hesse,FRA
94,BY,Bavaria,MUC
95,BEHBHHNISH,,HAM
96,BY,Bavaria,MUC
97,BY,Bavaria,MUC
98,BY,Bavaria,MUC
99,HE,Hesse,FRA
100,NWRP,,DUS
101,NWRP,,DUS
102,BEHBHHNISH,,HAM
103,HE,Hesse,FRA
104,ST,Saxony-Anhalt,CSO
105,NWRP,,DUS
106,BY,Bavaria,MUC
107,NWRP,,DUS
108,BW,Baden-Wurttemberg,STR
109,BEHBHHNISH,,HAM
110,BEHBHHNISH,,HAM
111,NWRP,,DUS
112,NWRP,,DUS
113,NWRP,,DUS
114,NWRP,,DUS
115,BEHBHHNISH,,HAM
116,NWRP,,DUS
117,HE,Hesse,FRA
118,NWRP,,DUS
119,NWRP,,DUS
120,BEHBHHNISH,,HAM
121,BY,Bavaria,MUC
122,BEHBHHNISH,,HAM
123,NWRP,,DUS
124,BEHBHHNISH,,HAM
125,SN,Saxony,DRS
126,BY,Bavaria,MUC
127,NWRP,,DUS
128,BY,Bavaria,MUC
129,NWRP,,DUS
130,HE,Hesse,FRA
131,NWRP,,DUS
132,BBMVTH,,TXL 
133,BEHBHHNISH,,HAM
134,HE,Hesse,FRA
135,NWRP,,DUS
136,NWRP,,DUS
137,BEHBHHNISH,,HAM
138,BEHBHHNISH,,HAM
139,NWRP,,DUS
140,NWRP,,DUS
141,BEHBHHNISH,,HAM
142,HE,Hesse,FRA
143,BY,Bavaria,MUC
144,BY,Bavaria,MUC
145,HE,Hesse,FRA
146,BY,Bavaria,MUC
147,BEHBHHNISH,,HAM
148,BW,Baden-Wurttemberg,STR
149,BEHBHHNISH,,HAM
150,NWRP,,DUS
151,BEHBHHNISH,,HAM
152,BW,Baden-Wurttemberg,STR
153,BW,Baden-Wurttemberg,STR
154,BY,Bavaria,MUC
155,BY,Bavaria,MUC
156,NWRP,,DUS
157,BEHBHHNISH,,HAM
158,NWRP,,DUS
159,BEHBHHNISH,,HAM
160,BEHBHHNISH,,HAM
161,NWRP,,DUS
162,BEHBHHNISH,,HAM
163,BY,Bavaria,MUC
164,NWRP,,DUS
165,BW,Baden-Wurttemberg,STR
166,NWRP,,DUS
167,NWRP,,DUS
168,BEHBHHNISH,,HAM
169,BY,Bavaria,MUC
170,NWRP,,DUS
171,SN,Saxony,DRS
172,NWRP,,DUS
173,BEHBHHNISH,,HAM
174,BEHBHHNISH,,HAM
175,BBMVTH,,TXL 
176,BW,Baden-Wurttemberg,STR
177,HE,Hesse,FRA
178,HE,Hesse,FRA
179,BEHBHHNISH,,HAM
180,BEHBHHNISH,,HAM
181,BBMVTH,,TXL 
182,BY,Bavaria,MUC
183,BY,Bavaria,MUC
184,BY,Bavaria,MUC
185,HE,Hesse,FRA
186,BY,Bavaria,MUC
187,NWRP,,DUS
188,NWRP,,DUS
189,SN,Saxony,DRS
190,BY,Bavaria,MUC
191,BW,Baden-Wurttemberg,STR
192,SN,Saxony,DRS
193,NWRP,,DUS
194,BY,Bavaria,MUC
195,BW,Baden-Wurttemberg,STR
196,SN,Saxony,DRS
197,BY,Bavaria,MUC
198,NWRP,,DUS
199,ST,Saxony-Anhalt,CSO
200,SN,Saxony,DRS
201,NWRP,,DUS
202,NWRP,,DUS
203,ST,Saxony-Anhalt,CSO
204,BY,Bavaria,MUC
205,NWRP,,DUS
206,SN,Saxony,DRS
207,BEHBHHNISH,,HAM
208,BY,Bavaria,MUC
209,SN,Saxony,DRS
210,SN,Saxony,DRS
211,NWRP,,DUS
212,BY,Bavaria,MUC
213,BBMVTH,,TXL 
214,NWRP,,DUS
215,HE,Hesse,FRA
216,BEHBHHNISH,,HAM
217,ST,Saxony-Anhalt,CSO
218,NWRP,,DUS
219,BW,Baden-Wurttemberg,STR
220,BEHBHHNISH,,HAM
221,SN,Saxony,DRS
222,BY,Bavaria,MUC
223,HE,Hesse,FRA
224,NWRP,,DUS
225,BBMVTH,,TXL 
226,NWRP,,DUS
227,ST,Saxony-Anhalt,CSO
228,BY,Bavaria,MUC
229,ST,Saxony-Anhalt,CSO
230,BEHBHHNISH,,HAM
231,NWRP,,DUS
232,BY,Bavaria,MUC
233,BEHBHHNISH,,HAM
234,NWRP,,DUS
235,BEHBHHNISH,,HAM
236,NWRP,,DUS
237,NWRP,,DUS
238,NWRP,,DUS
239,BEHBHHNISH,,HAM
240,BEHBHHNISH,,HAM
241,HE,Hesse,FRA
242,ST,Saxony-Anhalt,CSO
243,BY,Bavaria,MUC
244,BEHBHHNISH,,HAM
245,NWRP,,DUS
246,NWRP,,DUS
247,NWRP,,DUS
248,SN,Saxony,DRS
249,BY,Bavaria,MUC
250,BEHBHHNISH,,HAM
251,NWRP,,DUS
252,BY,Bavaria,MUC
253,BY,Bavaria,MUC
254,BEHBHHNISH,,HAM
255,BY,Bavaria,MUC
256,NWRP,,DUS
257,BY,Bavaria,MUC
258,SN,Saxony,DRS
259,BEHBHHNISH,,HAM
260,BY,Bavaria,MUC
261,BEHBHHNISH,,HAM
262,HE,Hesse,FRA
263,BY,Bavaria,MUC
264,BEHBHHNISH,,HAM
265,SN,Saxony,DRS
266,BY,Bavaria,MUC
267,BY,Bavaria,MUC
268,BY,Bavaria,MUC
269,BW,Baden-Wurttemberg,STR
270,SN,Saxony,DRS
271,NWRP,,DUS
272,ST,Saxony-Anhalt,CSO
273,NWRP,,DUS
274,BEHBHHNISH,,HAM
275,HE,Hesse,FRA
276,BY,Bavaria,MUC
277,BY,Bavaria,MUC
278,BBMVTH,,TXL 
279,BY,Bavaria,MUC
280,NWRP,,DUS
281,NWRP,,DUS
282,NWRP,,DUS
283,BW,Baden-Wurttemberg,STR
284,HE,Hesse,FRA
285,NWRP,,DUS
286,BEHBHHNISH,,HAM
287,ST,Saxony-Anhalt,CSO
288,BEHBHHNISH,,HAM
289,BEHBHHNISH,,HAM
290,HE,Hesse,FRA
291,BEHBHHNISH,,HAM
292,NWRP,,DUS
293,BY,Bavaria,MUC
294,BY,Bavaria,MUC
295,BY,Bavaria,MUC
296,BEHBHHNISH,,HAM
297,ST,Saxony-Anhalt,CSO
298,BY,Bavaria,MUC
299,BY,Bavaria,MUC
300,NWRP,,DUS
301,BY,Bavaria,MUC
302,BEHBHHNISH,,HAM
303,BW,Baden-Wurttemberg,STR
304,NWRP,,DUS
305,BEHBHHNISH,,HAM
306,NWRP,,DUS
307,ST,Saxony-Anhalt,CSO
308,ST,Saxony-Anhalt,CSO
309,BEHBHHNISH,,HAM
310,NWRP,,DUS
311,NWRP,,DUS
312,NWRP,,DUS
313,BEHBHHNISH,,HAM
314,NWRP,,DUS
315,NWRP,,DUS
316,NWRP,,DUS
317,BEHBHHNISH,,HAM
318,NWRP,,DUS
319,NWRP,,DUS
320,HE,Hesse,FRA
321,HE,Hesse,FRA
322,ST,Saxony-Anhalt,CSO
323,BEHBHHNISH,,HAM
324,NWRP,,DUS
325,BY,Bavaria,MUC
326,NWRP,,DUS
327,SN,Saxony,DRS
328,SN,Saxony,DRS
329,BEHBHHNISH,,HAM
330,BEHBHHNISH,,HAM
331,BEHBHHNISH,,HAM
332,BEHBHHNISH,,HAM
333,BEHBHHNISH,,HAM
334,HE,Hesse,FRA
335,ST,Saxony-Anhalt,CSO
336,HE,Hesse,FRA
337,BY,Bavaria,MUC
338,BEHBHHNISH,,HAM
339,BEHBHHNISH,,HAM
340,NWRP,,DUS
341,BW,Baden-Wurttemberg,STR
342,HE,Hesse,FRA
343,NWRP,,DUS
344,BY,Bavaria,MUC
345,BW,Baden-Wurttemberg,STR
346,HE,Hesse,FRA
347,NWRP,,DUS
348,NWRP,,DUS
349,HE,Hesse,FRA
350,ST,Saxony-Anhalt,CSO
351,BEHBHHNISH,,HAM
352,SN,Saxony,DRS
353,NWRP,,DUS
354,BEHBHHNISH,,HAM
355,BEHBHHNISH,,HAM
356,BEHBHHNISH,,HAM
357,NWRP,,DUS
358,NWRP,,DUS
359,BY,Bavaria,MUC
360,NWRP,,DUS
361,BEHBHHNISH,,HAM
362,NWRP,,DUS
363,ST,Saxony-Anhalt,CSO
364,BEHBHHNISH,,HAM
365,SN,Saxony,DRS
366,BY,Bavaria,MUC
367,NWRP,,DUS
368,HE,Hesse,FRA
369,BY,Bavaria,MUC
370,NWRP,,DUS
371,NWRP,,DUS
372,ST,Saxony-Anhalt,CSO
373,NWRP,,DUS
374,NWRP,,DUS
375,ST,Saxony-Anhalt,CSO
376,NWRP,,DUS
377,BY,Bavaria,MUC
378,SN,Saxony,DRS
379,NWRP,,DUS
380,NWRP,,DUS
381,NWRP,,DUS
382,BY,Bavaria,MUC
383,BEHBHHNISH,,HAM
384,BEHBHHNISH,,HAM
385,NWRP,,DUS
386,NWRP,,DUS
387,BW,Baden-Wurttemberg,STR
388,NWRP,,DUS
389,NWRP,,DUS
390,BBMVTH,,TXL 
391,NWRP,,DUS
392,BEHBHHNISH,,HAM
393,BEHBHHNISH,,HAM
394,BBMVTH,,TXL 
395,SN,Saxony,DRS
396,BBMVTH,,TXL 
397,BY,Bavaria,MUC
398,BEHBHHNISH,,HAM
399,BEHBHHNISH,,HAM
400,NWRP,,DUS
401,BEHBHHNISH,,HAM
402,HE,Hesse,FRA
403,NWRP,,DUS
404,HE,Hesse,FRA
405,NWRP,,DUS
406,BEHBHHNISH,,HAM
407,BEHBHHNISH,,HAM
408,HE,Hesse,FRA
409,SN,Saxony,DRS
410,NWRP,,DUS
411,NWRP,,DUS
412,BW,Baden-Wurttemberg,STR
413,BEHBHHNISH,,HAM
414,BY,Bavaria,MUC
415,BW,Baden-Wurttemberg,STR
416,SN,Saxony,DRS
417,BEHBHHNISH,,HAM
418,SN,Saxony,DRS
419,ST,Saxony-Anhalt,CSO
420,HE,Hesse,FRA
421,BY,Bavaria,MUC
422,BY,Bavaria,MUC
423,BEHBHHNISH,,HAM
424,ST,Saxony-Anhalt,CSO
425,HE,Hesse,FRA
426,BY,Bavaria,MUC
427,BEHBHHNISH,,HAM
428,HE,Hesse,FRA
429,NWRP,,DUS
430,BEHBHHNISH,,HAM
431,BEHBHHNISH,,HAM
432,BEHBHHNISH,,HAM
433,BEHBHHNISH,,HAM
434,BW,Baden-Wurttemberg,STR
435,SN,Saxony,DRS
436,BY,Bavaria,MUC
437,ST,Saxony-Anhalt,CSO
438,NWRP,,DUS
439,HE,Hesse,FRA
440,BW,Baden-Wurttemberg,STR
441,SN,Saxony,DRS
442,NWRP,,DUS
443,BEHBHHNISH,,HAM
444,NWRP,,DUS
445,NWRP,,DUS
446,NWRP,,DUS
447,BW,Baden-Wurttemberg,STR
448,NWRP,,DUS
449,NWRP,,DUS
450,BEHBHHNISH,,HAM
451,BY,Bavaria,MUC
452,BEHBHHNISH,,HAM
453,SN,Saxony,DRS
454,HE,Hesse,FRA
455,HE,Hesse,FRA
456,NWRP,,DUS
457,NWRP,,DUS
458,BEHBHHNISH,,HAM
459,NWRP,,DUS
460,NWRP,,DUS
461,NWRP,,DUS
462,BY,Bavaria,MUC
463,BW,Baden-Wurttemberg,STR
464,BEHBHHNISH,,HAM
465,HE,Hesse,FRA
466,NWRP,,DUS
467,BEHBHHNISH,,HAM
468,SN,Saxony,DRS
469,BY,Bavaria,MUC
470,NWRP,,DUS
471,BEHBHHNISH,,HAM
472,BY,Bavaria,MUC
473,BW,Baden-Wurttemberg,STR
474,HE,Hesse,FRA
475,NWRP,,DUS
476,NWRP,,DUS
477,HE,Hesse,FRA
478,NWRP,,DUS
479,BEHBHHNISH,,HAM
480,NWRP,,DUS
481,BEHBHHNISH,,HAM
482,NWRP,,DUS
483,BY,Bavaria,MUC
484,BY,Bavaria,MUC
485,NWRP,,DUS
486,NWRP,,DUS
487,NWRP,,DUS
488,NWRP,,DUS
489,HE,Hesse,FRA
490,BW,Baden-Wurttemberg,STR
491,BY,Bavaria,MUC
492,BEHBHHNISH,,HAM
493,BY,Bavaria,MUC
494,BY,Bavaria,MUC
495,NWRP,,DUS
496,BEHBHHNISH,,HAM
497,BEHBHHNISH,,HAM
498,BEHBHHNISH,,HAM
499,HE,Hesse,FRA
500,NWRP,,DUS
501,NWRP,,DUS
502,BY,Bavaria,MUC
503,BW,Baden-Wurttemberg,STR
504,NWRP,,DUS
505,HE,Hesse,FRA
506,NWRP,,DUS
507,NWRP,,DUS
508,HE,Hesse,FRA
509,BEHBHHNISH,,HAM
510,NWRP,,DUS
511,NWRP,,DUS
512,BY,Bavaria,MUC
513,BY,Bavaria,MUC
514,BEHBHHNISH,,HAM
515,ST,Saxony-Anhalt,CSO
516,BY,Bavaria,MUC
517,NWRP,,DUS
518,NWRP,,DUS
519,BW,Baden-Wurttemberg,STR
520,NWRP,,DUS
521,NWRP,,DUS
522,NWRP,,DUS
523,BY,Bavaria,MUC
524,SN,Saxony,DRS
525,BY,Bavaria,MUC
526,BEHBHHNISH,,HAM
527,BEHBHHNISH,,HAM
528,BY,Bavaria,MUC
529,SN,Saxony,DRS
530,SN,Saxony,DRS
531,BY,Bavaria,MUC
532,BY,Bavaria,MUC
533,BEHBHHNISH,,HAM
534,BEHBHHNISH,,HAM
535,BEHBHHNISH,,HAM
536,BEHBHHNISH,,HAM
537,SN,Saxony,DRS
538,NWRP,,DUS
539,BEHBHHNISH,,HAM
540,NWRP,,DUS
541,BY,Bavaria,MUC
542,ST,Saxony-Anhalt,CSO
543,NWRP,,DUS
544,BY,Bavaria,MUC
545,ST,Saxony-Anhalt,CSO
546,ST,Saxony-Anhalt,CSO
547,BEHBHHNISH,,HAM
548,NWRP,,DUS
549,NWRP,,DUS
550,BEHBHHNISH,,HAM
551,BY,Bavaria,MUC
552,HE,Hesse,FRA
553,BEHBHHNISH,,HAM
554,NWRP,,DUS
555,HE,Hesse,FRA
556,SN,Saxony,DRS
557,SN,Saxony,DRS
558,BY,Bavaria,MUC
559,ST,Saxony-Anhalt,CSO
560,BEHBHHNISH,,HAM
561,BW,Baden-Wurttemberg,STR
562,NWRP,,DUS
563,SN,Saxony,DRS
564,NWRP,,DUS
565,BY,Bavaria,MUC
566,NWRP,,DUS
567,HE,Hesse,FRA
568,NWRP,,DUS
569,NWRP,,DUS
570,BEHBHHNISH,,HAM
571,SN,Saxony,DRS
572,NWRP,,DUS
573,NWRP,,DUS
574,BW,Baden-Wurttemberg,STR
575,BEHBHHNISH,,HAM
576,NWRP,,DUS
577,BY,Bavaria,MUC
578,NWRP,,DUS
579,NWRP,,DUS
580,BY,Bavaria,MUC
581,ST,Saxony-Anhalt,CSO
582,BY,Bavaria,MUC
583,BY,Bavaria,MUC
584,BEHBHHNISH,,HAM
585,BEHBHHNISH,,HAM
586,SN,Saxony,DRS
587,ST,Saxony-Anhalt,CSO
588,NWRP,,DUS
589,NWRP,,DUS
590,BEHBHHNISH,,HAM
591,SN,Saxony,DRS
592,BEHBHHNISH,,HAM
593,BY,Bavaria,MUC
594,NWRP,,DUS
595,NWRP,,DUS
596,NWRP,,DUS
597,BEHBHHNISH,,HAM
598,ST,Saxony-Anhalt,CSO
599,NWRP,,DUS
600,NWRP,,DUS
601,BEHBHHNISH,,HAM
602,NWRP,,DUS
603,NWRP,,DUS
604,NWRP,,DUS
605,HE,Hesse,FRA
606,BBMVTH,,TXL 
607,HE,Hesse,FRA
608,BY,Bavaria,MUC
609,BY,Bavaria,MUC
610,BEHBHHNISH,,HAM
611,BEHBHHNISH,,HAM
612,HE,Hesse,FRA
613,NWRP,,DUS
614,BW,Baden-Wurttemberg,STR
615,HE,Hesse,FRA
616,NWRP,,DUS
617,BY,Bavaria,MUC
618,BEHBHHNISH,,HAM
619,BY,Bavaria,MUC
620,BY,Bavaria,MUC
621,BY,Bavaria,MUC
622,NWRP,,DUS
623,SN,Saxony,DRS
624,NWRP,,DUS
625,BEHBHHNISH,,HAM
626,BEHBHHNISH,,HAM
627,BEHBHHNISH,,HAM
628,NWRP,,DUS
629,BEHBHHNISH,,HAM
630,NWRP,,DUS
631,BY,Bavaria,MUC
632,BEHBHHNISH,,HAM
633,NWRP,,DUS
634,NWRP,,DUS
635,NWRP,,DUS
636,BY,Bavaria,MUC
637,NWRP,,DUS
638,HE,Hesse,FRA
639,BY,Bavaria,MUC
640,BEHBHHNISH,,HAM
641,BY,Bavaria,MUC
642,BEHBHHNISH,,HAM
643,BY,Bavaria,MUC
644,BEHBHHNISH,,HAM
645,BW,Baden-Wurttemberg,STR
646,BEHBHHNISH,,HAM
647,NWRP,,DUS
648,BEHBHHNISH,,HAM
649,NWRP,,DUS
650,BEHBHHNISH,,HAM
651,BEHBHHNISH,,HAM
652,NWRP,,DUS
653,BEHBHHNISH,,HAM
654,BEHBHHNISH,,HAM
655,BEHBHHNISH,,HAM
656,BY,Bavaria,MUC
657,ST,Saxony-Anhalt,CSO
658,NWRP,,DUS
659,NWRP,,DUS
660,BY,Bavaria,MUC
661,NWRP,,DUS
662,BEHBHHNISH,,HAM
663,BEHBHHNISH,,HAM
664,BY,Bavaria,MUC
665,BEHBHHNISH,,HAM
666,HE,Hesse,FRA
667,BEHBHHNISH,,HAM
668,HE,Hesse,FRA
669,BEHBHHNISH,,HAM
670,HE,Hesse,FRA
671,BY,Bavaria,MUC
672,BBMVTH,,TXL 
673,BEHBHHNISH,,HAM
674,BY,Bavaria,MUC
675,HE,Hesse,FRA
676,BY,Bavaria,MUC
677,NWRP,,DUS
678,BY,Bavaria,MUC
679,BEHBHHNISH,,HAM
680,BY,Bavaria,MUC
681,NWRP,,DUS
682,BEHBHHNISH,,HAM
683,BY,Bavaria,MUC
684,NWRP,,DUS
685,NWRP,,DUS
686,NWRP,,DUS
687,BY,Bavaria,MUC
688,SN,Saxony,DRS
689,BY,Bavaria,MUC
690,HE,Hesse,FRA
691,NWRP,,DUS
692,BBMVTH,,TXL 
693,NWRP,,DUS
694,NWRP,,DUS
695,HE,Hesse,FRA
696,BEHBHHNISH,,HAM
697,SN,Saxony,DRS
698,NWRP,,DUS
699,NWRP,,DUS
700,BY,Bavaria,MUC
701,NWRP,,DUS
702,BW,Baden-Wurttemberg,STR
703,BW,Baden-Wurttemberg,STR
704,ST,Saxony-Anhalt,CSO
705,BY,Bavaria,MUC
706,BEHBHHNISH,,HAM
707,NWRP,,DUS
708,HE,Hesse,FRA
709,SN,Saxony,DRS
710,BBMVTH,,TXL 
711,BEHBHHNISH,,HAM
712,BW,Baden-Wurttemberg,STR
713,SN,Saxony,DRS
714,ST,Saxony-Anhalt,CSO
715,NWRP,,DUS
716,NWRP,,DUS
717,NWRP,,DUS
718,NWRP,,DUS
719,BEHBHHNISH,,HAM
720,NWRP,,DUS
721,NWRP,,DUS
722,NWRP,,DUS
723,BW,Baden-Wurttemberg,STR
724,BEHBHHNISH,,HAM
725,HE,Hesse,FRA
726,BY,Bavaria,MUC
727,BEHBHHNISH,,HAM
728,HE,Hesse,FRA
729,NWRP,,DUS
730,BBMVTH,,TXL 
731,BY,Bavaria,MUC
732,HE,Hesse,FRA
733,NWRP,,DUS
734,NWRP,,DUS
735,ST,Saxony-Anhalt,CSO
736,NWRP,,DUS
737,BY,Bavaria,MUC
738,SN,Saxony,DRS
739,BW,Baden-Wurttemberg,STR
740,NWRP,,DUS
741,NWRP,,DUS
742,BEHBHHNISH,,HAM
743,NWRP,,DUS
744,HE,Hesse,FRA
745,BW,Baden-Wurttemberg,STR
746,BEHBHHNISH,,HAM
747,BY,Bavaria,MUC
748,HE,Hesse,FRA
749,NWRP,,DUS
750,BEHBHHNISH,,HAM
751,NWRP,,DUS
752,ST,Saxony-Anhalt,CSO
753,BW,Baden-Wurttemberg,STR
754,NWRP,,DUS
755,BW,Baden-Wurttemberg,STR
756,BEHBHHNISH,,HAM
757,BEHBHHNISH,,HAM
758,BBMVTH,,TXL 
759,BEHBHHNISH,,HAM
760,SN,Saxony,DRS
761,BW,Baden-Wurttemberg,STR
762,NWRP,,DUS
763,ST,Saxony-Anhalt,CSO
764,BEHBHHNISH,,HAM
765,BEHBHHNISH,,HAM
766,BY,Bavaria,MUC
767,BY,Bavaria,MUC
768,BBMVTH,,TXL 
769,BY,Bavaria,MUC
770,BEHBHHNISH,,HAM
771,NWRP,,DUS
772,NWRP,,DUS
773,NWRP,,DUS
774,BY,Bavaria,MUC
775,BY,Bavaria,MUC
776,NWRP,,DUS
777,BW,Baden-Wurttemberg,STR
778,NWRP,,DUS
779,NWRP,,DUS
780,BEHBHHNISH,,HAM
781,BW,Baden-Wurttemberg,STR
782,HE,Hesse,FRA
783,SN,Saxony,DRS
784,BY,Bavaria,MUC
785,BY,Bavaria,MUC
786,HE,Hesse,FRA
787,NWRP,,DUS
788,NWRP,,DUS
789,HE,Hesse,FRA
790,NWRP,,DUS
791,BBMVTH,,TXL 
792,BEHBHHNISH,,HAM
793,BEHBHHNISH,,HAM
794,SN,Saxony,DRS
795,BEHBHHNISH,,HAM
796,HE,Hesse,FRA
797,HE,Hesse,FRA
798,NWRP,,DUS
799,BEHBHHNISH,,HAM
800,BW,Baden-Wurttemberg,STR
801,BW,Baden-Wurttemberg,STR
802,BEHBHHNISH,,HAM
803,HE,Hesse,FRA
804,BEHBHHNISH,,HAM
805,HE,Hesse,FRA
806,NWRP,,DUS
807,HE,Hesse,FRA
808,NWRP,,DUS
809,SN,Saxony,DRS
810,BY,Bavaria,MUC
811,HE,Hesse,FRA
812,NWRP,,DUS
813,HE,Hesse,FRA
814,NWRP,,DUS
815,NWRP,,DUS
816,BW,Baden-Wurttemberg,STR
817,BY,Bavaria,MUC
818,SN,Saxony,DRS
819,SN,Saxony,DRS
820,HE,Hesse,FRA
821,BEHBHHNISH,,HAM
822,BY,Bavaria,MUC
823,NWRP,,DUS
824,NWRP,,DUS
825,BEHBHHNISH,,HAM
826,BEHBHHNISH,,HAM
827,BEHBHHNISH,,HAM
828,BY,Bavaria,MUC
829,BEHBHHNISH,,HAM
830,ST,Saxony-Anhalt,CSO
831,BW,Baden-Wurttemberg,STR
832,NWRP,,DUS
833,BEHBHHNISH,,HAM
834,ST,Saxony-Anhalt,CSO
835,NWRP,,DUS
836,BEHBHHNISH,,HAM
837,HE,Hesse,FRA
838,BY,Bavaria,MUC
839,BW,Baden-Wurttemberg,STR
840,NWRP,,DUS
841,BEHBHHNISH,,HAM
842,SN,Saxony,DRS
843,NWRP,,DUS
844,BBMVTH,,TXL 
845,BEHBHHNISH,,HAM
846,BEHBHHNISH,,HAM
847,HE,Hesse,FRA
848,BEHBHHNISH,,HAM
849,SN,Saxony,DRS
850,HE,Hesse,FRA
851,BBMVTH,,TXL 
852,BEHBHHNISH,,HAM
853,HE,Hesse,FRA
854,ST,Saxony-Anhalt,CSO
855,NWRP,,DUS
856,NWRP,,DUS
857,NWRP,,DUS
858,BY,Bavaria,MUC
859,NWRP,,DUS
860,SN,Saxony,DRS
861,BEHBHHNISH,,HAM
862,SN,Saxony,DRS
863,ST,Saxony-Anhalt,CSO
864,BBMVTH,,TXL 
865,NWRP,,DUS
866,SN,Saxony,DRS
867,ST,Saxony-Anhalt,CSO
868,NWRP,,DUS
869,BEHBHHNISH,,HAM
870,HE,Hesse,FRA
871,NWRP,,DUS
872,HE,Hesse,FRA
873,BW,Baden-Wurttemberg,STR
874,NWRP,,DUS
875,SN,Saxony,DRS
876,NWRP,,DUS
877,BBMVTH,,TXL 
878,NWRP,,DUS
879,HE,Hesse,FRA
880,NWRP,,DUS
881,BEHBHHNISH,,HAM
882,BY,Bavaria,MUC
883,BEHBHHNISH,,HAM
884,NWRP,,DUS
885,HE,Hesse,FRA
886,BEHBHHNISH,,HAM
887,BY,Bavaria,MUC
888,NWRP,,DUS
889,BEHBHHNISH,,HAM
890,BEHBHHNISH,,HAM
891,NWRP,,DUS
892,HE,Hesse,FRA
893,BBMVTH,,TXL 
894,NWRP,,DUS
895,BBMVTH,,TXL 
896,NWRP,,DUS
897,NWRP,,DUS
898,NWRP,,DUS
899,NWRP,,DUS
900,BBMVTH,,TXL 
901,NWRP,,DUS
902,NWRP,,DUS
903,HE,Hesse,FRA
904,BY,Bavaria,MUC
905,BY,Bavaria,MUC
906,BEHBHHNISH,,HAM
907,BEHBHHNISH,,HAM
908,NWRP,,DUS
909,BEHBHHNISH,,HAM
910,NWRP,,DUS
911,BEHBHHNISH,,HAM
912,BEHBHHNISH,,HAM
913,BY,Bavaria,MUC
914,NWRP,,DUS
915,BEHBHHNISH,,HAM
916,ST,Saxony-Anhalt,CSO
917,HE,Hesse,FRA
918,BY,Bavaria,MUC
919,BEHBHHNISH,,HAM
920,SN,Saxony,DRS
921,NWRP,,DUS
922,ST,Saxony-Anhalt,CSO
923,BBMVTH,,TXL 
924,SN,Saxony,DRS
925,BBMVTH,,TXL 
926,BW,Baden-Wurttemberg,STR
927,ST,Saxony-Anhalt,CSO
928,BY,Bavaria,MUC
929,HE,Hesse,FRA
930,HE,Hesse,FRA
931,SN,Saxony,DRS
932,ST,Saxony-Anhalt,CSO
933,BBMVTH,,TXL 
934,BY,Bavaria,MUC
